Locustag	begin	end	length	Strand	Begin	End	Length (bp)	Info	Description	Note	Supp Note	Operon	COG	StartCodon	SD energy
lmo1749	1818740	1819213	474	+	1818740	1819213	474	ORF	similar to shikimate kinase	hypothetical protein - RAST_Product: Shikimate kinase I (EC 2.7.1.71)	Shikimate kinase I (EC 2.7.1.71)		Amino acid transport and metabolism	ATG	 
lmo1750	1819244	1819798	555	-	1819244	1819798	555	ORF		hypothetical protein - RAST_Product: Molybdate metabolism regulator	Molybdate metabolism regulator		Function unknown	ATG	 
lmo1751	1820133	1821494	1362	-	1820133	1821494	1362	ORF	Uncharacterized RNA methyltransferase lmo1751	hypothetical protein - RAST_Product: 23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-) ## LSU rRNA m(5)U1939	23S rRNA (Uracil-5-) -methyltransferase RumA (EC 2.1.1.-) ## LSU rRNA m(5)U1939	Operon_307	Translation	TTG	 
lmo1752	1821518	1822273	756	-	1821518	1822273	756	ORF	lmo1752	hypothetical protein - RAST_Product: FIG00774698: hypothetical protein	FIG00774698: hypothetical protein	Operon_307	Not in COGs	ATG	 
lmo1753	1822421	1823353	933	-	1822421	1823353	933	ORF	similar to YegS from E. coli	putative lipid kinase	Transcription regulator [contains diacylglycerol kinase catalytic domain]		"Lipid transport and metabolism; General function prediction only;"	ATG	 
lmo1754	1823494	1824924	1431	-	1823494	1824924	1431	ORF	"allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp-tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases; reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA"	aspartyl/glutamyl-tRNA amidotransferase subunit B	Aspartyl-tRNA(Asn) amidotransferase subunit B (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit B (EC 6.3.5.7)	Operon_308	Translation	ATG	 
lmo1755	1824936	1826387	1452	-	1824936	1826387	1452	ORF	"allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp-tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases; reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA"	aspartyl/glutamyl-tRNA amidotransferase subunit A	Aspartyl-tRNA(Asn) amidotransferase subunit A (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit A (EC 6.3.5.7)	Operon_308	Translation	TTG	 
lmo1756	1826411	1826704	294	-	1826411	1826704	294	ORF	"allows the formation of correctly charged Asn-tRNA(Asn) or Gln-tRNA(Gln) through the transamidation of misacylated Asp-tRNA(Asn) or Glu-tRNA(Gln) in organisms which lack either or both of asparaginyl-tRNA or glutaminyl-tRNA synthetases; reaction takes place in the presence of glutamine and ATP through an activated phospho-Asp-tRNA(Asn) or phospho-Glu-tRNA; some Mycoplasma proteins contain an N-terminal fusion to an unknown domain"	aspartyl/glutamyl-tRNA amidotransferase subunit C	Aspartyl-tRNA(Asn) amidotransferase subunit C (EC 6.3.5.6) @ Glutamyl-tRNA(Gln) amidotransferase subunit C (EC 6.3.5.7)	Operon_308	Translation	TTG	 
lmo1757	1826829	1827944	1116	-	1826829	1827944	1116	ORF		hypothetical protein - RAST_Product: Putative pheromone cAM373 precursor lipoprotein CamS	Putative pheromone cAM373 precursor lipoprotein CamS	Operon_308	General function prediction only	ATG	 
lmo1758	1827941	1829956	2016	-	1827941	1829956	2016	ORF	"similar to DNA ligase; this protein catalyzes the formation of phosphodiester linkages between 5'-phosphoryl and 3'-hydroxyl groups in double-stranded DNA using NAD as a coenzyme and as the energy source for the reaction; essential for DNA replication and repair of damaged DNA; similar to ligase LigB"	NAD-dependent DNA ligase LigA	DNA ligase (EC 6.5.1.2)	Operon_308	Replication, recombination and repair	ATG	 
lmo1759	1829982	1832177	2196	-	1829982	1832177	2196	ORF		ATP-dependent DNA helicase	ATP-dependent DNA helicase UvrD/PcrA	Operon_308	Replication, recombination and repair	TTG	 
lmo1760	1832242	1832919	678	-	1832242	1832919	678	ORF	"PcrB-like protein; GGGP synthase; member of prenyltransferases that transfer isoprenoid groups to nonisoprenoid acceptors; functions in form GGGP from glycerol-1-phosphate (G-1-P) and geranylgeranyl pyrophosphate (GGPP); important in lipid metabolism and especially important as the ether linkages in archaea are different than those in bacteria; GGGP synthase lies at the branch point for membrane lipid biosynthesis; cytosolic; T acidophilum protein acts as a homodimer while M thermoautotrophicum protein has been reported to function as a pentamer"	geranylgeranylglyceryl phosphate synthase-like protein	(S)-3-O-geranylgeranylglyceryl phosphate synthase		General function prediction only	ATG	 
lmo1761	1833125	1834480	1356	+	1833125	1834480	1356	ORF	similar to putative sodium-dependent transporter	hypothetical protein	sodium-dependent transporter		General function prediction only	ATG	 
lmo1762	1834523	1834777	255	-	1834523	1834777	255	ORF	lmo1762	hypothetical protein - RAST_Product: FIG00774163: hypothetical protein	FIG00774163: hypothetical protein	Operon_309	Not in COGs	TTG	 
lmo1763	1834795	1835091	297	-	1834795	1835091	297	ORF		hypothetical protein - RAST_Product: His repressor	His repressor	Operon_309	Function unknown	ATG	 
lmo1764	1835229	1836491	1263	-	1835229	1836491	1263	ORF	catalyzes the formation of N(1)-(5-phospho-D-ribosyl)glycinamide from 5-phospho-D-ribosylamine and glycine in purine biosynthesis	phosphoribosylamine--glycine ligase	Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1765	1836516	1838045	1530	-	1836516	1838045	1530	ORF	involved in de novo purine biosynthesis	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	IMP cyclohydrolase (EC 3.5.4.10) / Phosphoribosylaminoimidazolecarboxamide formyltransferase (EC 2.1.2.3)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1766	1838051	1838617	567	-	1838051	1838617	567	ORF	highly similar to phosphoribosylglycinamide formyltransferases	hypothetical protein - RAST_Product: Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	Phosphoribosylglycinamide formyltransferase (EC 2.1.2.2)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1767	1838614	1839663	1050	-	1838614	1839663	1050	ORF	catalyzes the formation of 1-(5-phosphoribosyl)-5-aminoimidazole from 2-(formamido)-N1-(5-phosphoribosyl)acetamidine and ATP in purine biosynthesis	phosphoribosylaminoimidazole synthetase	Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1768	1839682	1841109	1428	-	1839682	1841109	1428	ORF	Catalyzes first step of the de novo purine nucleotide biosynthetic pathway	amidophosphoribosyltransferase	Amidophosphoribosyltransferase (EC 2.4.2.14)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1769	1841094	1843313	2220	-	1841094	1843313	2220	ORF	catalyzes the formation of 2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine from N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide and L-glutamine in purine biosynthesis	phosphoribosylformylglycinamidine synthase II	Phosphoribosylformylglycinamidine synthase, synthetase subunit (EC 6.3.5.3)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1770	1843306	1843989	684	-	1843306	1843989	684	ORF	"similar to phosphoribosylformylglycinamidine synthetase II; catalyzes the formation of 2-(formamido)-N1-(5-phospho-D-ribosyl)acetamidine from N2-formyl-N1-(5-phospho-D-ribosyl)glycinamide and L-glutamine in purine biosynthesis"	phosphoribosylformylglycinamidine synthase I	Phosphoribosylformylglycinamidine synthase, glutamine amidotransferase subunit (EC 6.3.5.3)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1771	1843993	1844238	246	-	1843993	1844238	246	ORF	With PurL and PurQ catalyzes the conversion of formylglycinamide ribonucleotide, ATP, and glutamine to formylglycinamidine ribonucleotide, ADP, and glutamate in the fourth step of the purine biosynthetic pathway	phosphoribosylformylglycinamidine synthase subunit PurS	Phosphoribosylformylglycinamidine synthase, PurS subunit (EC 6.3.5.3)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1772	1844250	1844963	714	-	1844250	1844963	714	ORF	"catalyzes the formation of (S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido)succinate from 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate and L-aspartate in purine biosynthesis; SAICAR synthase"	phosphoribosylaminoimidazole-succinocarboxamide synthase	Phosphoribosylaminoimidazole-succinocarboxamide synthase (EC 6.3.2.6)	Operon_310	Nucleotide transport and metabolism	GTG	 
lmo1773	1845044	1846336	1293	-	1845044	1846336	1293	ORF	Catalyzes two discrete reactions in the de novo synthesis of purines: the cleavage of adenylosuccinate and succinylaminoimidazole carboxamide ribotide	adenylosuccinate lyase	Adenylosuccinate lyase (EC 4.3.2.2)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1774	1846355	1847479	1125	-	1846355	1847479	1125	ORF	With PurE catalyzes the conversion of aminoimidazole ribonucleotide to carboxyaminoimidazole ribonucleotide in the de novo purine nucleotide biosynthetic pathway	phosphoribosylaminoimidazole carboxylase ATPase subunit	Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	Operon_310	Nucleotide transport and metabolism	TTG	 
lmo1775	1847472	1847960	489	-	1847472	1847960	489	ORF	Catalyzes a step in the de novo purine nucleotide biosynthetic pathway	phosphoribosylaminoimidazole carboxylase catalytic subunit	Phosphoribosylaminoimidazole carboxylase catalytic subunit (EC 4.1.1.21)	Operon_310	Nucleotide transport and metabolism	ATG	 
lmo1776	1848166	1848690	525	-	1848166	1848690	525	ORF		hypothetical protein - RAST_Product: FIG00774849: hypothetical protein	FIG00774849: hypothetical protein		Function unknown	GTG	 
lmo1777	1854077	1854682	606	-	1854077	1854682	606	ORF		hypothetical protein - RAST_Product: HD domain protein	HD domain protein		General function prediction only	ATG	 
lmo1778	1854748	1855521	774	+	1854748	1855521	774	ORF	similar to ABC transporter (ATP-binding protein)	hypothetical protein - RAST_Product: ABC transporter, ATP-binding protein	ABC transporter, ATP-binding protein	Operon_311	Inorganic ion transport and metabolism	ATG	 
lmo1779	1855571	1855933	363	+	1855571	1855933	363	ORF	lmo1779	hypothetical protein - RAST_Product: FIG00774618: hypothetical protein	FIG00774618: hypothetical protein	Operon_311	Not in COGs	TTG	 
lmo1780	1855952	1857184	1233	-	1855952	1857184	1233	ORF	"similar to aminotripeptidase (peptidase T); catalyzes the release of the N-terminal amino acid from a tripeptide"	peptidase T	Tripeptide aminopeptidase (EC 3.4.11.4)		Amino acid transport and metabolism	ATG	 
lmo1781	1857242	1857772	531	-	1857242	1857772	531	ORF	lmo1781	hypothetical protein - RAST_Product: FIG00775101: hypothetical protein	FIG00775101: hypothetical protein		Function unknown	ATG	 
lmo1782	1857856	1858611	756	+	1857856	1858611	756	ORF	similar to 3'-exo-deoxyribonuclease exoA	hypothetical protein - RAST_Product: Exodeoxyribonuclease III (EC 3.1.11.2)	Exodeoxyribonuclease III (EC 3.1.11.2)		Replication, recombination and repair	GTG	 
lmo1783	1858651	1859010	360	-	1858651	1859010	360	ORF	binds directly to 23S ribosomal RNA prior to in vitro assembly of the 50S ribosomal subunit	50S ribosomal protein L20	LSU ribosomal protein L20p	Operon_312	Translation	ATG	 
lmo1784	1859050	1859250	201	-	1859050	1859250	201	ORF		50S ribosomal protein L35	LSU ribosomal protein L35p	Operon_312	Translation	ATG	 
lmo1785	1859272	1859787	516	-	1859272	1859787	516	ORF	"IF-3 has several functions that are required and promote translation initiation including; preventing association of 70S by binding to 30S; monitoring codon-anticodon interactions by promoting disassociation of fMet-tRNA(fMet) from initiation complexes formed on leaderless mRNAs or incorrectly bound noninitiatior tRNAs and complexes with noncanonical start sites; stimulates codon-anticodon interactions at P-site; involved in moving mRNA to the P-site; and in recycling subunits"	translation initiation factor IF-3	Translation initiation factor 3	Operon_312	Translation	ATT	 
lmo1786	1860200	1861090	891	-	1860200	1861090	891	ORF		internalin C	Internalin C		Defense/virulence mechanisms	TTG	 
lmo1787	1861907	1862251	345	-	1861907	1862251	345	ORF	this protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site	50S ribosomal protein L19	LSU ribosomal protein L19p		Translation	ATG	 
lmo1788	1862459	1862893	435	+	1862459	1862893	435	ORF	similar to transcription regulator	hypothetical protein - RAST_Product: Transcriptional regulator, MerR family	Transcriptional regulator, MerR family	Operon_313	Transcription	ATG	 
lmo1789	1862893	1863480	588	+	1862893	1863480	588	ORF	weakly similar to Nad(P)h Oxidoreductase chain B	hypothetical protein - RAST_Product: flavodoxin-like fold domain protein	flavodoxin-like fold domain protein	Operon_313	General function prediction only	ATG	 
lmo1790	1863501	1864217	717	+	1863501	1864217	717	ORF		hypothetical protein	metallo-beta-lactamase family protein	Operon_313	General function prediction only	ATG	 
lmo1791	1864248	1864637	390	-	1864248	1864637	390	ORF	lmo1791	hypothetical protein - RAST_Product: FIG00774452: hypothetical protein	FIG00774452: hypothetical protein	Operon_314	Not in COGs	ATG	 
lmo1792	1864657	1865394	738	-	1864657	1865394	738	ORF	"similar to E. coli tRNA (guanine-N1) methyltransferase; methylates guanosine-37 in various tRNAs; uses S-adenosyl-L-methionine to transfer methyl group to tRNA"	tRNA (guanine-N(1)-)-methyltransferase	tRNA (guanine-N1)-methyltransferase( EC:2.1.1.31 )	Operon_314	Translation	ATG	 
lmo1793	1865394	1865912	519	-	1865394	1865912	519	ORF	"similar to putative 16S rRNA processing protein RimM; Essential for efficient processing of 16S rRNA"	16S rRNA-processing protein RimM	16S rRNA processing protein RimM	Operon_314	Translation	ATG	 
lmo1794	1865922	1866308	387	-	1865922	1866308	387	ORF		hypothetical protein - RAST_Product: FIG00774277: hypothetical protein	FIG00774277: hypothetical protein	Operon_314	Not in COGs	GTG	 
lmo1795	1866336	1867070	735	-	1866336	1867070	735	ORF		hypothetical protein - RAST_Product: Glutamine amidotransferase, class I	Glutamine amidotransferase, class I	Operon_314	General function prediction only	ATG	 
lmo1796	1867180	1867410	231	-	1867180	1867410	231	ORF		hypothetical protein - RAST_Product: KH domain RNA binding protein YlqC	KH domain RNA binding protein YlqC	Operon_315	General function prediction only	ATG	 
lmo1797	1867427	1867699	273	-	1867427	1867699	273	ORF	"binds to lower part of 30S body where it stabilizes two domains; required for efficient assembly of 30S; in Escherichia coli this protein has nuclease activity"	30S ribosomal protein S16	SSU ribosomal protein S16p	Operon_315	Translation	ATG	 
lmo1798	1867802	1869460	1659	-	1867802	1869460	1659	ORF		hypothetical protein - RAST_Product: poly (glycerol-phosphate) alpha-glucosyltransferase	poly (glycerol-phosphate) alpha-glucosyltransferase	Operon_316	Not in COGs	ATG	 
lmo1799	1869532	1872243	2712	-	1869532	1872243	2712	ORF		peptidoglycan binding protein	Putative peptidoglycan bound protein (LPXTG motif) Lmo1799 homolog	Operon_316	Not in COGs	ATG	 
lmo1800	1872724	1873620	897	-	1872724	1873620	897	ORF	similar to protein-tyrosine phosphatase	hypothetical protein - RAST_Product: Protein tyrosine phosphatase (EC 3.1.3.48)	Protein tyrosine phosphatase (EC 3.1.3.48)		Signal transduction mechanisms	ATG	 
lmo1801	1873764	1875116	1353	-	1873764	1875116	1353	ORF	similar to signal recognition particle protein Ffh	hypothetical protein - RAST_Product: Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	Operon_317	Intracellular trafficking and secretion	ATG	 
lmo1802	1875129	1875461	333	-	1875129	1875461	333	ORF		putative DNA-binding protein	Signal recognition particle associated protein	Operon_317	Function unknown	TTG	 
lmo1803	1875574	1876560	987	-	1875574	1876560	987	ORF	similar to FtsY of E. coli and SRP receptor alpha-subunit	hypothetical protein - RAST_Product: Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	Operon_318	Intracellular trafficking and secretion	ATG	 
lmo1804	1876575	1880135	3561	-	1876575	1880135	3561	ORF	similar to Smc protein essential for chromosome condensation and partition	hypothetical protein - RAST_Product: Chromosome partition protein smc	Chromosome partition protein smc	Operon_318	Cell cycle control, mitosis and meiosis	ATG	 
lmo1805	1880158	1880847	690	-	1880158	1880847	690	ORF	"similar to ribonuclease III; cytoplasmic enzyme involved in processing rRNA and some mRNAs; substrates typically have dsRNA regions; forms a homodimer; have N-terminal nuclease and C-terminal RNA-binding domains; requires magnesium as preferred ion for activity"	ribonuclease III	Ribonuclease III (EC 3.1.26.3)	Operon_318	Transcription	ATG	 
lmo1806	1881041	1881274	234	-	1881041	1881274	234	ORF	"highly similar to acyl carrier proteins; carries the fatty acid chain in fatty acid biosynthesis"	acyl carrier protein	Acyl carrier protein		"Lipid transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism;"	ATG	 
lmo1807	1881381	1882124	744	-	1881381	1882124	744	ORF	similar to 3-ketoacyl-acyl carrier protein reductase	hypothetical protein - RAST_Product: 3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	Operon_319	"Lipid transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism; General function prediction only;"	ATG	 
lmo1808	1882128	1883069	942	-	1882128	1883069	942	ORF	similar to malonyl CoA-acyl carrier protein transacylase	acyl-carrier-protein S-malonyltransferase	Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	Operon_319	Lipid transport and metabolism	ATG	 
lmo1809	1883062	1884075	1014	-	1883062	1884075	1014	ORF	"similar to plsX protein involved in fatty acid/phospholipid synthesis; involved in acylation of glycerol-3-phosphate to form 1-acyl-glycerol-3 phosphate for use in phospholipid biosynthesis; functions with PlsY"	putative glycerol-3-phosphate acyltransferase PlsX	Phosphate:acyl-ACP acyltransferase PlsX	Operon_319	Lipid transport and metabolism	ATG	 
lmo1810	1884096	1884665	570	-	1884096	1884665	570	ORF	negative regulator of genes involved in fatty acid and phospholipid biosynthesis for gram positive bacteria	fatty acid biosynthesis transcriptional regulator	Phosphate:acyl-ACP acyltransferase PlsX	Operon_319	Secondary metabolites biosynthesis, transport and catabolism	ATG	 
lmo1811	1884846	1886894	2049	-	1884846	1886894	2049	ORF	"similar to ATP-dependent DNA helicase recG; catalyzes branch migration in Holliday junction intermediates"	ATP-dependent DNA helicase RecG	ATP-dependent DNA helicase RecG (EC 3.6.1.-)	Operon_320	"Transcription; Replication, recombination and repair;"	GTG	 
lmo1812	1886887	1887777	891	-	1886887	1887777	891	ORF	similar to L-serine dehydratase	hypothetical protein - RAST_Product: L-serine dehydratase, alpha subunit (EC 4.3.1.17)	L-serine dehydratase, alpha subunit (EC 4.3.1.17)	Operon_320	Amino acid transport and metabolism	ATG	 
lmo1813	1887913	1888575	663	-	1887913	1888575	663	ORF	similar to phosphoglycerate dehydrogenase	hypothetical protein	L-serine dehydratase, beta subunit (EC 4.3.1.17)	Operon_321	Amino acid transport and metabolism	GTG	 
lmo1814	1888615	1890273	1659	-	1888615	1890273	1659	ORF		hypothetical protein - RAST_Product: Dihydroxyacetone kinase family protein	Dihydroxyacetone kinase family protein	Operon_321	General function prediction only	GTG	 
lmo1815	1890288	1890653	366	-	1890288	1890653	366	ORF		hypothetical protein - RAST_Product: FIG001802: Putative alkaline-shock protein	FIG001802: Putative alkaline-shock protein	Operon_321	Function unknown	ATG	 
lmo1816	1890951	1891139	189	+	1890951	1891139	189	ORF	required for 70S ribosome assembly	50S ribosomal protein L28	LSU ribosomal protein L28p		Translation	ATG	 
lmo1817	1891236	1891880	645	-	1891236	1891880	645	ORF	weakly similar to thiamin pyrophosphokinase	hypothetical protein - RAST_Product: Thiamin pyrophosphokinase (EC 2.7.6.2)	Thiamin pyrophosphokinase (EC 2.7.6.2)	Operon_322	Coenzyme transport and metabolism	ATG	 
lmo1818	1891944	1892600	657	-	1891944	1892600	657	ORF	"similar to ribulose-5-phosphate 3-epimerase; catalyzes the interconversion of D-ribulose 5-phosphate to xylulose 5-phosphate"	ribulose-phosphate 3-epimerase	Ribulose-phosphate 3-epimerase (EC 5.1.3.1)	Operon_322	Carbohydrate transport and metabolism	ATG	 
lmo1819	1892603	1893478	876	-	1892603	1893478	876	ORF	"EngC; RsgA; CpgA; circularly permuted GTPase; ribosome small subunit-dependent GTPase A; has the pattern G4-G1-G3 as opposed to other GTPases; interacts strongly with 30S ribosome which stimulates GTPase activity"	ribosome-associated GTPase	Ribosome small subunit-stimulated GTPase EngC	Operon_322	General function prediction only	GTG	 
lmo1820	1893497	1895464	1968	-	1893497	1895464	1968	ORF	similar to putative serine/threonine-specific protein kinase	hypothetical protein - RAST_Product: Serine/threonine protein kinase PrkC, regulator of stationary phase	Serine/threonine protein kinase PrkC, regulator of stationary phase	Operon_322	"General function prediction only; Signal transduction mechanisms; Transcription; Replication, recombination and repair; Function unknown;"	ATG	 
lmo1821	1895461	1896219	759	-	1895461	1896219	759	ORF	similar to putative phosphoprotein phosphatase	hypothetical protein - RAST_Product: Protein serine/threonine phosphatase PrpC, regulation of stationary phase	Protein serine/threonine phosphatase PrpC, regulation of stationary phase	Operon_322	Signal transduction mechanisms	ATG	 
lmo1822	1896242	1897576	1335	-	1896242	1897576	1335	ORF	similar to RNA-binding Sun protein	hypothetical protein - RAST_Product: Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	Ribosomal RNA small subunit methyltransferase B (EC 2.1.1.-)	Operon_322	Translation	ATG	 
lmo1823	1897577	1898515	939	-	1897577	1898515	939	ORF	similar to methionyl-tRNA formyltransferase	hypothetical protein - RAST_Product: Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Methionyl-tRNA formyltransferase (EC 2.1.2.9)	Operon_322	Translation	ATG	 
lmo1824	1898529	1900922	2394	-	1898529	1900922	2394	ORF	"similar to primosomal replication factor Y; binding of PriA to forked DNA starts the assembly of the primosome, also possesses 3'-5' helicase activity"	primosome assembly protein PriA	Helicase PriA essential for oriC/DnaA-independent DNA replication	Operon_322	Replication, recombination and repair	ATG	 
lmo1825	1900927	1902126	1200	-	1900927	1902126	1200	ORF	similar to pantothenate metabolism flavoprotein homolog	hypothetical protein - RAST_Product: Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36) / Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	Operon_322	Coenzyme transport and metabolism	ATG	 
lmo1826	1902281	1902484	204	-	1902281	1902484	204	ORF	"lmo1826; Promotes RNA polymerase assembly; latches the N- and C-terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits"	DNA-directed RNA polymerase subunit omega	DNA-directed RNA polymerase omega subunit (EC 2.7.7.6)	Operon_323	Transcription	ATG	 
lmo1827	1902484	1903101	618	-	1902484	1903101	618	ORF	"similar to guanylate kinases; Essential for recycling GMP and indirectly, cGMP"	guanylate kinase	Guanylate kinase (EC 2.7.4.8)	Operon_323	Nucleotide transport and metabolism	ATG	 
lmo1828	1903120	1903995	876	-	1903120	1903995	876	ORF	similar to conserved hypothetical protein	hypothetical protein - RAST_Product: Protein YicC	Protein YicC	Operon_323	Function unknown	ATG	 
lmo1829	1904152	1905864	1713	+	1904152	1905864	1713	ORF	similar to fibronectin binding proteins	hypothetical protein - RAST_Product: Fibronectin/fibrinogen-binding protein	Fibronectin/fibrinogen-binding protein		Posttranslational modification, protein turnover, chaperones	ATG	 
lmo1830	1905952	1906551	600	+	1905952	1906551	600	ORF	similar to conserved hypotheticl proteins	short chain dehydrogenase	short chain dehydrogenase		"Lipid transport and metabolism; Secondary metabolites biosynthesis, transport and catabolism; General function prediction only;"	ATG	 
lmo1831	1906592	1907221	630	-	1906592	1907221	630	ORF	"highly similar to orotate phosphoribosyltransferases; involved in fifth step of pyrimidine biosynthesis; converts orotidine 5'-phosphate and diphosphate to orotate and 5-phospho-alpha-D-ribose 1-diphosphate"	orotate phosphoribosyltransferase	Orotate phosphoribosyltransferase (EC 2.4.2.10)	Operon_324	Nucleotide transport and metabolism	ATG	 
lmo1832	1907218	1907919	702	-	1907218	1907919	702	ORF	"highly similar to orotidine 5'-phosphate decarboxylases; type 1 subfamily; involved in last step of pyrimidine biosynthesis; converts orotidine 5'-phosphate to UMP and carbon dioxide; OMP decarboxylase; OMPDCase; OMPdecase"	orotidine 5'-phosphate decarboxylase	Orotidine 5'-phosphate decarboxylase (EC 4.1.1.23)	Operon_324	Nucleotide transport and metabolism	ATG	 
lmo1833	1907916	1908830	915	-	1907916	1908830	915	ORF	"highly similar to dihydroorotase dehydrogenase; catalyzes the conversion of dihydroorotate to orotate in the pyrimidine biosynthesis pathway, using a flavin nucleotide as an essential cofactor; subclass 1B is a heterotetramer consisting of two PyrDB subunits, similar to the PyrDA subunits and two PyrK subunits"	dihydroorotate dehydrogenase 1B	Dihydroorotate dehydrogenase, catalytic subunit (EC 1.3.3.1)	Operon_324	Nucleotide transport and metabolism	ATG	 
lmo1834	1908827	1909591	765	-	1908827	1909591	765	ORF	highly similar to dihydroorotate dehydrogenase (electron transfer subunit)	hypothetical protein - RAST_Product: Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	Dihydroorotate dehydrogenase electron transfer subunit (EC 1.3.3.1)	Operon_324	"Coenzyme transport and metabolism; Energy production and conversion;"	GTG	 
lmo1835	1909614	1912826	3213	-	1909614	1912826	3213	ORF	"highly similar to carbamoyl-phosphate synthetase (catalytic subunit); four CarB-CarA dimers form the carbamoyl phosphate synthetase holoenzyme that catalyzes the production of carbamoyl phosphate; CarB is responsible for the amidotransferase activity"	carbamoyl phosphate synthase large subunit	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5)	Operon_324	"Amino acid transport and metabolism; Nucleotide transport and metabolism;"	ATG	 
lmo1836	1912819	1913910	1092	-	1912819	1913910	1092	ORF	"highly similar to carbamoyl-phosphate synthetase (glutaminase subunit); catalyzes production of carbamoyl phosphate from bicarbonate and glutamine in pyrimidine and arginine biosynthesis pathways; forms an octamer composed of four CarAB dimers"	carbamoyl phosphate synthase small subunit	Carbamoyl-phosphate synthase small chain (EC 6.3.5.5)	Operon_324	"Amino acid transport and metabolism; Nucleotide transport and metabolism;"	ATG	 
lmo1837	1913907	1915187	1281	-	1913907	1915187	1281	ORF	"highly similar to dihydroorotase; catalyzes the formation of N-carbamoyl-L-aspartate from (S)-dihydroorotate in pyrimidine biosynthesis"	dihydroorotase	Dihydroorotase (EC 3.5.2.3)	Operon_324	Nucleotide transport and metabolism	ATG	 
lmo1838	1915175	1916086	912	-	1915175	1916086	912	ORF	"highly similar to aspartate carbamoyltransferase; catalyzes the transfer of the carbamoyl moiety from carbamoyl phosphate to L- aspartate in pyrimidine biosynthesis"	aspartate carbamoyltransferase catalytic subunit	Aspartate carbamoyltransferase (EC 2.1.3.2)	Operon_324	Nucleotide transport and metabolism	ATG	 
lmo1839	1916166	1917452	1287	-	1916166	1917452	1287	ORF	highly similar to uracil permease	hypothetical protein - RAST_Product: Uracil permease	Uracil permease	Operon_324	Nucleotide transport and metabolism	ATG	 
